2014-12-14 19:04:29,455 미세 reef.runtime.common.Launcher.main main | Launcher started with user name [puppybit]
2014-12-14 19:04:29,520 미세 reef.runtime.common.Launcher.main main | Launcher started. Assertions are DISABLED in this process.
2014-12-14 19:04:29,696 미세 reef.wake.impl.StageManager.<init> main | StageManager adds a shutdown hook
2014-12-14 19:04:29,697 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@39fe9ce1
2014-12-14 19:04:29,700 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@7b3825bf
2014-12-14 19:04:29,709 미세 reef.wake.remote.NetUtils.getLocalAddress main | Local address is 192.168.0.12
2014-12-14 19:04:29,943 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-14 19:04:29,944 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 12,040
2014-12-14 19:04:30,024 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.12:12040
2014-12-14 19:04:30,028 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.remote.impl.DefaultRemoteManagerImplementation@7ac01ae4
2014-12-14 19:04:30,029 가장 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.<init> main | RemoteManager REEF_LAUNCHER instantiated id socket://192.168.0.12:12040 counter 1 listening on /192.168.0.12:12040:12,040
2014-12-14 19:04:30,031 미세 reef.runtime.common.utils.RemoteManager.<init> main | Instantiated RemoteManager with remoteId: socket://192.168.0.12:12040
2014-12-14 19:04:30,033 미세 reef.runtime.common.Launcher.main main | Launcher starting
2014-12-14 19:04:30,034 보다 미세 reef.runtime.common.launch.LaunchClass.run main | ENTRY Starting the clock
2014-12-14 19:04:30,034 가장 미세 reef.runtime.common.launch.LaunchClass.readConfigurationFromDisk main | Loading configuration file: reef/local/driver.conf
2014-12-14 19:04:30,507 미세 reef.wake.time.runtime.RuntimeClock.<init> main | RuntimeClock instantiated.
2014-12-14 19:04:30,514 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.<init> main | Instantiated 'ResourceCatalogImpl'
2014-12-14 19:04:30,514 미세 reef.runtime.common.driver.evaluator.Evaluators.<init> main | Instantiated 'Evaluators'
2014-12-14 19:04:30,516 가장 미세 reef.runtime.local.driver.ContainerManager.<init> main | Initializing Container Manager with 3 containers
2014-12-14 19:04:30,517 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto handler: org.apache.reef.runtime.local.driver.ContainerManager$1
2014-12-14 19:04:30,517 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto
2014-12-14 19:04:30,519 미세 reef.runtime.local.driver.ContainerManager.<init> main | Initialized Container Manager with 3 containers
2014-12-14 19:04:30,520 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.getHandler main | RemoteManager: REEF_LAUNCHER destinationIdentifier: socket://192.168.0.12:13744 messageType: org.apache.reef.proto.ReefServiceProtos$JobStatusProto
2014-12-14 19:04:30,522 미세 reef.wake.remote.impl.ProxyEventHandler.<init> main | ProxyEventHandler myId: socket://192.168.0.12:12040 remoteId: socket://192.168.0.12:13744 remoteSink: default handler: org.apache.reef.wake.remote.impl.RemoteSenderEventHandler@36862391
2014-12-14 19:04:30,522 미세 reef.runtime.common.driver.client.ClientConnection.<init> main | Instantiated 'ClientConnection'
2014-12-14 19:04:30,524 보다 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | ENTRY
2014-12-14 19:04:30,524 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | Instantiated 'DriverStatusManager'
2014-12-14 19:04:30,525 보다 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | RETURN
2014-12-14 19:04:30,535 미세 reef.runtime.local.driver.ResourceManager.<init> main | Instantiated 'ResourceManager'
2014-12-14 19:04:30,880 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginSuccess with annotation @org.apache.hadoop.metrics2.annotation.Metric(valueName=Time, about=, value=[Rate of successful kerberos logins and latency (milliseconds)], type=DEFAULT, always=false, sampleName=Ops)
2014-12-14 19:04:30,889 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginFailure with annotation @org.apache.hadoop.metrics2.annotation.Metric(valueName=Time, about=, value=[Rate of failed kerberos logins and latency (milliseconds)], type=DEFAULT, always=false, sampleName=Ops)
2014-12-14 19:04:30,890 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.getGroups with annotation @org.apache.hadoop.metrics2.annotation.Metric(valueName=Time, about=, value=[GetGroups], type=DEFAULT, always=false, sampleName=Ops)
2014-12-14 19:04:30,892 미세 hadoop.metrics2.impl.MetricsSystemImpl.register main | UgiMetrics, User and group related metrics
2014-12-14 19:04:31,139 미세 hadoop.security.Groups.getUserToGroupsMappingService main |  Creating new Groups object
2014-12-14 19:04:31,144 미세 hadoop.util.NativeCodeLoader.<clinit> main | Trying to load the custom-built native-hadoop library...
2014-12-14 19:04:31,145 미세 hadoop.util.NativeCodeLoader.<clinit> main | Failed to load native-hadoop with error: java.lang.UnsatisfiedLinkError: no hadoop in java.library.path
2014-12-14 19:04:31,146 미세 hadoop.util.NativeCodeLoader.<clinit> main | java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2014-12-14 19:04:31,147 경고 hadoop.util.NativeCodeLoader.<clinit> main | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2014-12-14 19:04:31,147 미세 hadoop.security.JniBasedUnixGroupsMappingWithFallback.<init> main | Falling back to shell based
2014-12-14 19:04:31,149 미세 hadoop.security.JniBasedUnixGroupsMappingWithFallback.<init> main | Group mapping impl=org.apache.hadoop.security.ShellBasedUnixGroupsMapping
2014-12-14 19:04:31,163 미세 hadoop.util.Shell.isSetsidSupported main | setsid exited with exit code 0
2014-12-14 19:04:31,164 미세 hadoop.security.Groups.<init> main | Group mapping impl=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback; cacheTimeout=300000; warningDeltaMs=5000
2014-12-14 19:04:31,170 미세 hadoop.security.UserGroupInformation.login main | hadoop login
2014-12-14 19:04:31,172 미세 hadoop.security.UserGroupInformation.commit main | hadoop login commit
2014-12-14 19:04:31,176 미세 hadoop.security.UserGroupInformation.commit main | using local user:UnixPrincipal: puppybit
2014-12-14 19:04:31,179 미세 hadoop.security.UserGroupInformation.loginUserFromSubject main | UGI loginUser:puppybit (auth:SIMPLE)
2014-12-14 19:04:31,326 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.use.legacy.blockreader.local = false
2014-12-14 19:04:31,327 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.read.shortcircuit = false
2014-12-14 19:04:31,327 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.domain.socket.data.traffic = false
2014-12-14 19:04:31,328 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.domain.socket.path = 
2014-12-14 19:04:31,391 미세 hadoop.io.retry.RetryUtils.getDefaultRetryPolicy main | multipleLinearRandomRetry = null
2014-12-14 19:04:31,414 미세 hadoop.ipc.Server.registerProtocolEngine main | rpcKind=RPC_PROTOCOL_BUFFER, rpcRequestWrapperClass=class org.apache.hadoop.ipc.ProtobufRpcEngine$RpcRequestWrapper, rpcInvoker=org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker@52ae002e
2014-12-14 19:04:31,420 미세 hadoop.ipc.Client.getClient main | getting client out of cache: org.apache.hadoop.ipc.Client@5282f370
2014-12-14 19:04:31,734 미세 hadoop.hdfs.BlockReaderLocal.<init> main | Both short-circuit local reads and UNIX domain socket are disabled.
2014-12-14 19:04:31,753 미세 hadoop.mapred.FileInputFormat.listStatus main | Time taken to get FileStatuses: 4
2014-12-14 19:04:31,753 정보 hadoop.mapred.FileInputFormat.listStatus main | Total input paths to process : 1
2014-12-14 19:04:31,758 미세 hadoop.mapred.FileInputFormat.getSplits main | Total # of splits generated by getSplits: 2, TimeTaken: 10
2014-12-14 19:04:31,759 가장 미세 reef.io.data.loading.impl.InputFormatLoadingService.<init> main | Splits: [file:/home/puppybit/Workspace/reef-pregel/bin/dataset:0+162, file:/home/puppybit/Workspace/reef-pregel/bin/dataset:162+163]
2014-12-14 19:04:31,759 미세 reef.io.data.loading.impl.InputFormatLoadingService.<init> main | Number of partitions: 2
2014-12-14 19:04:31,760 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | Processing split: 0
2014-12-14 19:04:31,761 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | Processing split: 1
2014-12-14 19:04:31,762 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | localhost: [InputSplit-0, InputSplit-1]
2014-12-14 19:04:31,766 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@3626e41a
2014-12-14 19:04:31,772 미세 reef.io.data.loading.api.ResourceRequestHandler.onNext SingleThreadStage<org.apache.reef.io.data.loading.api.ResourceRequestHandler> | Processing a request with count: 1 - Waiting for gate to be released
2014-12-14 19:04:31,774 미세 reef.runtime.common.driver.DriverStartHandler.<init> main | Instantiated `DriverStartHandler with StartHandler [[org.apache.reef.io.data.loading.api.DataLoader$StartHandler@1821fb68]] and no RestartHandler
2014-12-14 19:04:31,799 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@61bdbb58
2014-12-14 19:04:31,802 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-14 19:04:31,802 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 17,422
2014-12-14 19:04:31,805 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.12:17422
2014-12-14 19:04:31,806 미세 reef.io.network.naming.NameServer.<init> main | NameServer starting, listening at port 17,422
2014-12-14 19:04:31,807 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@158b6810
2014-12-14 19:04:31,808 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@735cfd7c
2014-12-14 19:04:31,809 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@5e06130f
2014-12-14 19:04:31,812 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@493de006
2014-12-14 19:04:31,831 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@3086f4c2
2014-12-14 19:04:31,831 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@6c2f0571
2014-12-14 19:04:31,835 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-14 19:04:31,836 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 19,231
2014-12-14 19:04:31,837 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.12:19231
2014-12-14 19:04:31,838 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.registerErrorHandler main | Set error handler org.apache.reef.wake.impl.LoggingEventHandler@61090a2e
2014-12-14 19:04:31,838 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.registerErrorHandler main | Set error handler org.apache.reef.wake.impl.LoggingEventHandler@61090a2e
2014-12-14 19:04:31,842 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@315d00bb
2014-12-14 19:04:31,846 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-14 19:04:31,847 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 14,467
2014-12-14 19:04:31,848 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.12:14467
2014-12-14 19:04:31,851 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@6996c9b6
2014-12-14 19:04:31,853 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@52cb0004
2014-12-14 19:04:31,855 가장 미세 reef.io.network.impl.NetworkService.registerId main | Binding Pregel to NetworkService@(/192.168.0.12:19231)
2014-12-14 19:04:31,856 미세 reef.io.network.naming.NameClient.register SingleThreadStage<NameServiceRegisterer> | Refister Pregel : /192.168.0.12:19231
2014-12-14 19:04:31,856 미세 reef.io.network.naming.NameRegistryClient.register SingleThreadStage<NameServiceRegisterer> | Register Pregel : /192.168.0.12:19231
2014-12-14 19:04:31,857 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@61c614
2014-12-14 19:04:31,857 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SingleThreadStage<NameServiceRegisterer> | No cached link for /192.168.0.12:17422 thread Thread[SingleThreadStage<NameServiceRegisterer>,5,main]
2014-12-14 19:04:31,859 보다 미세 GroupCommDriverImpl.newCommunicationGroup main | ENTRY CommunicationGroup 3
2014-12-14 19:04:31,865 가장 미세 reef.io.network.nggroup.impl.utils.CountingSemaphore.<init> main | Counter initialized to 3
2014-12-14 19:04:31,869 보다 미세 GroupCommMessageHandler.addHandler main | ENTRY CommunicationGroup com.microsoft.reef.io.network.nggroup.impl.utils.BroadcastingEventHandler@7071dec8
