2014-12-18 00:59:38,752 미세 reef.runtime.common.Launcher.main main | Launcher started with user name [puppybit]
2014-12-18 00:59:38,823 미세 reef.runtime.common.Launcher.main main | Launcher started. Assertions are DISABLED in this process.
2014-12-18 00:59:39,010 미세 reef.wake.impl.StageManager.<init> main | StageManager adds a shutdown hook
2014-12-18 00:59:39,012 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@59834848
2014-12-18 00:59:39,016 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@75b7e189
2014-12-18 00:59:39,025 미세 reef.wake.remote.NetUtils.getLocalAddress main | Local address is 192.168.0.11
2014-12-18 00:59:39,280 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-18 00:59:39,280 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 18,472
2014-12-18 00:59:39,364 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.11:18472
2014-12-18 00:59:39,366 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.remote.impl.DefaultRemoteManagerImplementation@4cc155dd
2014-12-18 00:59:39,367 가장 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.<init> main | RemoteManager REEF_LAUNCHER instantiated id socket://192.168.0.11:18472 counter 1 listening on /192.168.0.11:18472:18,472
2014-12-18 00:59:39,368 미세 reef.runtime.common.utils.RemoteManager.<init> main | Instantiated RemoteManager with remoteId: socket://192.168.0.11:18472
2014-12-18 00:59:39,369 미세 reef.runtime.common.Launcher.main main | Launcher starting
2014-12-18 00:59:39,370 보다 미세 reef.runtime.common.launch.LaunchClass.run main | ENTRY Starting the clock
2014-12-18 00:59:39,370 가장 미세 reef.runtime.common.launch.LaunchClass.readConfigurationFromDisk main | Loading configuration file: reef/local/driver.conf
2014-12-18 00:59:39,903 미세 reef.wake.time.runtime.RuntimeClock.<init> main | RuntimeClock instantiated.
2014-12-18 00:59:39,907 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.getHandler main | RemoteManager: REEF_LAUNCHER destinationIdentifier: socket://192.168.0.11:17428 messageType: org.apache.reef.proto.ReefServiceProtos$JobStatusProto
2014-12-18 00:59:39,910 미세 reef.wake.remote.impl.ProxyEventHandler.<init> main | ProxyEventHandler myId: socket://192.168.0.11:18472 remoteId: socket://192.168.0.11:17428 remoteSink: default handler: org.apache.reef.wake.remote.impl.RemoteSenderEventHandler@6cdc5f76
2014-12-18 00:59:39,910 미세 reef.runtime.common.driver.client.ClientConnection.<init> main | Instantiated 'ClientConnection'
2014-12-18 00:59:39,912 보다 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | ENTRY
2014-12-18 00:59:39,912 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | Instantiated 'DriverStatusManager'
2014-12-18 00:59:39,912 보다 미세 reef.runtime.common.driver.DriverStatusManager.<init> main | RETURN
2014-12-18 00:59:39,916 미세 reef.runtime.common.driver.evaluator.Evaluators.<init> main | Instantiated 'Evaluators'
2014-12-18 00:59:39,941 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.<init> main | Instantiated 'ResourceCatalogImpl'
2014-12-18 00:59:39,942 가장 미세 reef.runtime.local.driver.ContainerManager.<init> main | Initializing Container Manager with 3 containers
2014-12-18 00:59:39,944 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto handler: org.apache.reef.runtime.local.driver.ContainerManager$1
2014-12-18 00:59:39,944 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto
2014-12-18 00:59:39,946 미세 reef.runtime.local.driver.ContainerManager.<init> main | Initialized Container Manager with 3 containers
2014-12-18 00:59:39,954 미세 reef.runtime.local.driver.ResourceManager.<init> main | Instantiated 'ResourceManager'
2014-12-18 00:59:39,969 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@16db2cce
2014-12-18 00:59:39,971 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-18 00:59:39,972 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 10,460
2014-12-18 00:59:39,975 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.11:10460
2014-12-18 00:59:39,976 미세 reef.io.network.naming.NameServer.<init> main | NameServer starting, listening at port 10,460
2014-12-18 00:59:39,977 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@6ab1e7b5
2014-12-18 00:59:39,978 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@45e352cc
2014-12-18 00:59:39,979 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@4f50f2ec
2014-12-18 00:59:39,983 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@3b5b8981
2014-12-18 00:59:40,002 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@efa3f90
2014-12-18 00:59:40,002 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@4f630e9e
2014-12-18 00:59:40,005 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-18 00:59:40,005 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 14,644
2014-12-18 00:59:40,006 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.11:14644
2014-12-18 00:59:40,007 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.registerErrorHandler main | Set error handler org.apache.reef.wake.impl.LoggingEventHandler@47b7c1b7
2014-12-18 00:59:40,007 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.registerErrorHandler main | Set error handler org.apache.reef.wake.impl.LoggingEventHandler@47b7c1b7
2014-12-18 00:59:40,041 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SyncStage@6e24d5d8
2014-12-18 00:59:40,044 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Binding to 0
2014-12-18 00:59:40,044 가장 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Try port 11,811
2014-12-18 00:59:40,046 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.<init> main | Starting netty transport socket address: /192.168.0.11:11811
2014-12-18 00:59:40,049 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@948ecbd
2014-12-18 00:59:40,050 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@7b63daaf
2014-12-18 00:59:40,053 가장 미세 reef.io.network.impl.NetworkService.registerId main | Binding Pregel to NetworkService@(/192.168.0.11:14644)
2014-12-18 00:59:40,053 미세 reef.io.network.naming.NameClient.register SingleThreadStage<NameServiceRegisterer> | Refister Pregel : /192.168.0.11:14644
2014-12-18 00:59:40,054 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.ThreadPoolStage@6ce6c876
2014-12-18 00:59:40,055 미세 reef.io.network.naming.NameRegistryClient.register SingleThreadStage<NameServiceRegisterer> | Register Pregel : /192.168.0.11:14644
2014-12-18 00:59:40,056 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open SingleThreadStage<NameServiceRegisterer> | No cached link for /192.168.0.11:10460 thread Thread[SingleThreadStage<NameServiceRegisterer>,5,main]
2014-12-18 00:59:40,089 가장 미세 reef.wake.remote.transport.netty.NettyServerEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | Channel active. key: /192.168.0.11:37928
2014-12-18 00:59:40,091 가장 미세 reef.wake.remote.transport.netty.NettyClientEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | io.netty.channel.DefaultChannelHandlerContext@75856351
2014-12-18 00:59:40,092 가장 미세 reef.wake.remote.transport.netty.NettyLink.write SingleThreadStage<NameServiceRegisterer> | write [id: 0xc2aaf63e, /192.168.0.11:37928 => /192.168.0.11:10460] org.apache.reef.io.network.naming.serialization.NamingRegisterRequest@6645add0
